4,35
4,56
5,35
5,56
6,35
6,56
7,35
7,56
8,35
8,56
9,35
9,56
10,35
10,56
11,35
11,56
12,35
12,56
13,35
13,56
14,35
14,56
15,35
15,56
16,35
16,56
17,35
17,56
18,35
18,56
19,35
19,56
20,11
20,56
21,11
21,56
22,6
22,56
23,6
23,56
24,6
24,56
25,6
25,56
26,6
26,56
27,6
27,58
28,6
28,58
29,15
29,58
30,15
30,58
31,15
31,58
32,11
32,58
33,11
33,58
34,11
34,61
35,11
35,61
36,11
36,61
37,11
37,61
38,11
38,61
39,8
39,61
40,8
40,61
41,8
41,61
42,8
42,61
43,11
43,58
44,11
44,58
45,13
45,58
46,13
46,58
47,13
47,58
48,6
48,58
49,6
49,58
50,6
50,61
51,6
51,61
52,6
52,61
53,6
53,61
54,6
54,61
55,6
55,49
56,6
56,49
57,20
57,47
58,20
58,47
59,20
59,40
60,20
60,40
61,20
61,40
62,20
62,37
63,20
63,37
