5,40
5,74
6,40
6,74
7,40
7,74
8,40
8,74
9,40
9,74
10,40
10,74
11,15
11,68
12,15
12,68
13,15
13,67
14,10
14,64
15,8
15,64
16,8
16,64
17,8
17,64
18,5
18,71
19,5
19,71
20,5
20,71
21,5
21,71
22,5
22,71
23,5
23,77
24,2
24,78
25,2
25,78
26,2
26,78
27,2
27,78
28,2
28,78
29,2
29,77
30,2
30,75
31,2
31,74
32,2
32,71
33,2
33,71
34,2
34,71
35,2
35,71
36,2
36,71
37,2
37,71
38,2
38,71
39,2
39,71
40,2
40,71
41,2
41,71
42,2
42,71
43,2
43,71
44,2
44,71
45,2
45,71
46,2
46,71
47,2
47,71
48,2
48,71
49,2
49,71
50,2
50,71
51,2
51,76
52,2
52,78
53,2
53,79
54,2
54,79
55,2
55,79
56,2
56,78
57,2
57,77
58,2
58,77
59,5
59,76
60,5
60,75
61,5
61,71
62,5
62,71
63,5
63,71
64,5
64,71
65,7
65,70
66,8
66,55
67,8
67,55
68,9
68,55
69,15
69,55
70,15
70,55
71,15
71,55
72,40
72,52
73,40
73,52
74,40
74,52
