2,37
2,56
3,37
3,56
4,37
4,56
5,37
5,56
6,37
6,56
7,37
7,56
8,37
8,56
9,37
9,56
10,37
10,56
11,37
11,56
12,37
12,56
13,37
13,56
14,37
14,56
15,37
15,56
16,37
16,56
17,37
17,56
18,37
18,56
19,37
19,56
20,37
20,56
21,37
21,56
22,37
22,56
23,37
23,56
24,37
24,56
25,37
25,56
26,37
26,56
27,10
27,56
28,10
28,56
29,10
29,56
30,10
30,56
31,10
31,56
32,13
32,56
33,13
33,56
34,13
34,56
35,10
35,56
36,10
36,56
37,10
37,56
38,10
38,56
39,10
39,56
40,10
40,56
41,7
41,67
42,7
42,67
43,7
43,67
44,7
44,67
45,7
45,67
46,7
46,61
47,7
47,61
48,7
48,61
49,7
49,59
50,7
50,59
51,7
51,59
52,7
52,61
53,7
53,61
54,7
54,61
55,7
55,67
56,7
56,67
57,7
57,67
58,7
58,67
59,7
59,67
60,10
60,61
61,10
61,61
62,10
62,61
63,10
63,61
64,10
64,61
65,10
65,61
66,13
66,61
67,13
67,61
68,13
68,61
69,13
69,61
70,13
70,61
71,10
71,48
72,10
72,48
73,10
73,47
74,10
74,45
